"Note","Course","Module","Clip","Time in Clip","URL"
"coding koans","Learning To Program - Being A Better Programmer","Learning Code","Deliberate Practice","2:04","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=iris-classon&name=learning-program-better-programmer-m2-code&clip=4&mode=live&start=124.677405&noteid=35118edb-71e3-4e6f-b7c2-6f8930c5be4f"
"git clone urlRepoUrl","Building a JavaScript Development Environment","You Need a Starter Kit","Set Up Github","2:06","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m1&clip=4&mode=live&start=126.837668&noteid=2bb45c91-9cfd-4db4-8910-cfa08dd22ceb"
"liam mclennan javascript koans..","Learning To Program - Being A Better Programmer","Learning Code","Deliberate Practice","2:08","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=iris-classon&name=learning-program-better-programmer-m2-code&clip=4&mode=live&start=128.569106&noteid=66ec67e3-e12d-4f26-b074-5eea565ab342"
"that will create a folder with same as repository name","Building a JavaScript Development Environment","You Need a Starter Kit","Set Up Github","2:23","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m1&clip=4&mode=live&start=143.235814&noteid=13de017d-3a65-47f3-9495-5146288a2ae1"
"Deliberate Practice..","Learning To Program - Being A Better Programmer","Learning Code","Deliberate Practice","2:25","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=iris-classon&name=learning-program-better-programmer-m2-code&clip=4&mode=live&start=145.949371&noteid=a9cdc3d4-2d26-4650-aedb-5bc6d574b449"
"stage all file you changed by : git add . (dot)// all in 3 steps //simple","Building a JavaScript Development Environment","You Need a Starter Kit","Set Up Github","2:27","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m1&clip=4&mode=live&start=147.065821&noteid=e8b15e53-7032-43b5-83d8-54e2562d0aa3"
"git commit -m (master)","Building a JavaScript Development Environment","You Need a Starter Kit","Set Up Github","2:33","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m1&clip=4&mode=live&start=153.977633&noteid=86caf0ea-61a1-47ef-b9ad-33c0aa20cf7a"
"git push","Building a JavaScript Development Environment","You Need a Starter Kit","Set Up Github","2:43","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m1&clip=4&mode=live&start=163.700567&noteid=952222a3-b1af-40d1-b8c2-c7faf38ff412"
"make a configuration module and read all configuration from that moudle onlly","Advanced Node.js","Node != JavaScript","Global Object, Process, and Buffer","2:46","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m1&clip=4&mode=live&start=166.922966&noteid=2702b80c-1803-452e-bd99-37764f2c5ef6"
"microservices asynchronous","Microservices Architecture","Introduction","Emergence of Microservices","3:59","https://app.pluralsight.com/player?course=microservices-architecture&author=rag-dhiman&name=microservices-architecture-m1&clip=4&mode=live&start=239.574156&noteid=96a4dfea-0495-40ea-8535-cf4b9c3ec627"
"buffer is a datastructure to represent a sequence of binary data","Advanced Node.js","Node != JavaScript","Global Object, Process, and Buffer","6:27","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m1&clip=4&mode=live&start=387.346444&noteid=05e4c6e7-dfee-4f99-80d1-cc341224c463"
"you cannot resize a buffer","Advanced Node.js","Node != JavaScript","Global Object, Process, and Buffer","6:32","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m1&clip=4&mode=live&start=392.035628&noteid=90aa20b4-eac6-4982-a155-3d4da2c55568"
"Buffers are used when we need to read an image from tcp stream","Advanced Node.js","Node != JavaScript","Global Object, Process, and Buffer","7:56","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m1&clip=4&mode=live&start=476.235775&noteid=91758146-385b-45bd-9d1e-9c7366bcb690"
"seed boilder plate ,starter","Building a JavaScript Development Environment","You Need a Starter Kit","Agenda","0:30","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m1&clip=5&mode=live&start=30.411583&noteid=3a59732f-2e79-4f7c-a169-5db17d8113e5"
"codeplex,github,stackexcahange,google code,decompiling","Learning To Program - Being A Better Programmer","Learning Code","Why Read Code?","1:31","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=iris-classon&name=learning-program-better-programmer-m2-code&clip=5&mode=live&start=91.562981&noteid=f79c1c43-bc9d-4720-a27c-092ae0972325"
"process. and press the tab key","Learning To Program - Part 1: Getting Started","Learning To Program - Editors and Code Files","Check Please","1:42","https://app.pluralsight.com/player?course=learning-programming-javascript&author=scott-allen&name=learning-programming-javascript-m2&clip=5&mode=live&start=102.948285&noteid=36df60a9-3696-42ea-bb66-959740c1ed57"
"process.tilte","Learning To Program - Part 1: Getting Started","Learning To Program - Editors and Code Files","Check Please","2:00","https://app.pluralsight.com/player?course=learning-programming-javascript&author=scott-allen&name=learning-programming-javascript-m2&clip=5&mode=live&start=120.850685&noteid=d30bcfe1-f4c0-4b92-9f23-2f80d8648b8d"
"cmd>mvn clean,mvn compile, or cmd>mvn clean package(dasy chain)           cmd>mvn intall","Maven Fundamentals","Maven Structure","Demo: Goals","2:02","https://app.pluralsight.com/player?course=maven-fundamentals&author=bryan-hansen&name=maven-fundamentals-m2&clip=5&mode=live&start=122.855722&noteid=2b1f6b37-d921-41ac-be34-79f1451ec721"
"POST/REdirect/GET.... after post redirect user to another page..","HTTP Fundamentals","HTTP Messages","GET and POST Scenarios","2:05","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m2-messages&clip=5&mode=live&start=125.433648&noteid=b9846782-124f-4877-a220-4cea8a7b2f29"
"process.version  process.argv","Learning To Program - Part 1: Getting Started","Learning To Program - Editors and Code Files","Check Please","2:05","https://app.pluralsight.com/player?course=learning-programming-javascript&author=scott-allen&name=learning-programming-javascript-m2&clip=5&mode=live&start=125.633444&noteid=f4b3be3e-d9bb-4a29-90a7-f20e7c7c84b6"
"JustDecompile and JustPeek","Learning To Program - Being A Better Programmer","Learning Code","Why Read Code?","2:26","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=iris-classon&name=learning-program-better-programmer-m2-code&clip=5&mode=live&start=146.703434&noteid=ee566d40-c11a-409a-90bb-166efaf1db62"
"Jenkins-->contiuous integration","Building a JavaScript Development Environment","You Need a Starter Kit","Agenda","2:36","https://app.pluralsight.com/player?course=javascript-development-environment&author=cory-house&name=javascript-development-environment-m1&clip=5&mode=live&start=156.762386&noteid=2ee47a54-884f-4d37-9a3c-ddc6b4ed3ad7"
"PRG -->to avoid if user tries to refresh the result of a post operation..","HTTP Fundamentals","HTTP Messages","GET and POST Scenarios","3:07","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m2-messages&clip=5&mode=live&start=187.403196&noteid=1fe7d557-3336-40fe-bb51-b2969ae9a633"
"after post what if user refreshes the page???","HTTP Fundamentals","HTTP Messages","GET and POST Scenarios","3:12","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m2-messages&clip=5&mode=live&start=192.881021&noteid=d493f235-0fff-4db4-9546-cd7b040b2baa"
"npm init -y","NPM Playbook","NPM Basics","Setting Defaults","0:01","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=6&mode=live&start=1.024304&noteid=608aef38-bd49-41b0-8b2f-626a8a285e68"
"what is underscore.js and source code of it","NPM Playbook","NPM Basics","Setting Defaults","0:46","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=6&mode=live&start=46.383061&noteid=2a30167c-3992-4237-819a-a160ea00ff6d"
"High Cohesion is like the encapsulation principle from OOP progrmming principles.","Microservices Architecture","Introduction","High Cohesion","1:39","https://app.pluralsight.com/player?course=microservices-architecture&author=rag-dhiman&name=microservices-architecture-m1&clip=6&mode=live&start=99.636061&noteid=e3f31429-c86b-4bd5-be0f-58a7e6fcd884"
"require.extensions","Advanced Node.js","Node != JavaScript","JSON and C++ Addons","2:57","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m1&clip=6&mode=live&start=177.889313&noteid=d4913db4-0a3c-4319-b7de-48ed1ecc8b5a"
"exports vs module.exports??","Advanced Node.js","Node != JavaScript","Wrapping and Caching Modules","0:37","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m1&clip=7&mode=live&start=37.225508&noteid=1d3e3ee2-7c72-4483-88cf-30869a2d68e7"
"npm install lodash --save","NPM Playbook","NPM Basics","Installing Packages","1:12","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=7&mode=live&start=72.273942&noteid=ed941a95-49f7-49d1-962b-d6f1fe85b969"
"requier('module').wrapper","Advanced Node.js","Node != JavaScript","Wrapping and Caching Modules","1:22","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m1&clip=7&mode=live&start=82.421108&noteid=fb3900ed-14ff-42df-87a0-390cec5884d5"
"thats why we get the magical __dirname and__filename","Advanced Node.js","Node != JavaScript","Wrapping and Caching Modules","1:22","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m1&clip=7&mode=live&start=82.421108&noteid=ef2cb904-ab44-4250-855a-d6483ec2775f"
"npm i lodsh -S","NPM Playbook","NPM Basics","Installing Packages","1:40","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=7&mode=live&start=100.86924&noteid=7cb62daf-6787-4aa4-a6aa-e32df79113dc"
"this is cool.. console.log(arguments)","Advanced Node.js","Node != JavaScript","Wrapping and Caching Modules","2:01","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m1&clip=7&mode=live&start=121.474206&noteid=8df5e6cc-6908-47c6-967b-1464ba3c3399"
"let exports = module.exports","Advanced Node.js","Node != JavaScript","Wrapping and Caching Modules","2:35","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m1&clip=7&mode=live&start=155.59424&noteid=65f92b85-bcc6-44d7-8907-832a98812cd1"
"so ifyou change exports = ""hello"" it will no longer refer the module.exports reference .  So use module.exports=""hello""","Advanced Node.js","Node != JavaScript","Wrapping and Caching Modules","2:35","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m1&clip=7&mode=live&start=155.59424&noteid=a954420c-89ad-489b-a258-984e173a0dd0"
"Customers.Include(""BrokerageAccounts"").Where(c=>c.Name = ""kannan"")","Building ASP.NET MVC Apps with EF Code First, HTML5, and jQuery","Working with Data","Creating Data Repository Classes","6:43","https://app.pluralsight.com/player?course=web-development&author=dan-wahlin&name=web-development-m2-working-with-data&clip=7&mode=live&start=403.913315&noteid=8dd41bee-8241-420e-87ba-2c8660689c69"
"RxJs provides huge no of operators it proivdes.","Getting Started with Reactive Programming Using RxJS","Observers and Observables","Using RxJS Operators","0:18","https://app.pluralsight.com/player?course=reactive-programming-rxjs-getting-started&author=scott-allen&name=reactive-programming-rxjs-getting-started-m1&clip=8&mode=live&start=18.422993&noteid=6f7de3b7-382f-4963-89cc-1cadf5c61443"
"all operators are composable . tranform..changing time... etc.. composable means you can make a pipeline","Getting Started with Reactive Programming Using RxJS","Observers and Observables","Using RxJS Operators","0:26","https://app.pluralsight.com/player?course=reactive-programming-rxjs-getting-started&author=scott-allen&name=reactive-programming-rxjs-getting-started-m1&clip=8&mode=live&start=26.527074&noteid=72bbb906-a794-4b6f-8483-9a17b243db4e"
"npm list","NPM Playbook","NPM Basics","Listing Installed Packages","0:30","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=8&mode=live&start=30.040546&noteid=3eef73b7-c1eb-4daa-b1ca-0730fd5218c6"
"build can override the default file name in case you needed . make <build><filename> foo</filename></build> it will become foo.jar.","Maven Fundamentals","Maven Structure","Demo: The build section","0:59","https://app.pluralsight.com/player?course=maven-fundamentals&author=bryan-hansen&name=maven-fundamentals-m2&clip=8&mode=live&start=59.344708&noteid=6e60d8e9-009a-4d46-8963-b38a83d98812"
"buffertoggle...map.... we can chain mehtods and create a processing pipe line of data..","Getting Started with Reactive Programming Using RxJS","Observers and Observables","Using RxJS Operators","1:01","https://app.pluralsight.com/player?course=reactive-programming-rxjs-getting-started&author=scott-allen&name=reactive-programming-rxjs-getting-started-m1&clip=8&mode=live&start=61.138968&noteid=767fba6b-afa5-4a95-b98b-b3c116d1c752"
"npm list --depth 0","NPM Playbook","NPM Basics","Listing Installed Packages","1:20","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=8&mode=live&start=80.85715&noteid=8a73db94-0a24-42c0-af55-f6e5add6379b"
"npm install --global true","NPM Playbook","NPM Basics","Listing Installed Packages","1:23","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=8&mode=live&start=83.742168&noteid=6e9ceb6a-e034-46e0-b4ac-d17fdd9ee353"
"npm install --global true --depth 0","NPM Playbook","NPM Basics","Listing Installed Packages","1:41","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=8&mode=live&start=101.057161&noteid=5a8a0fc2-17a9-4b30-8c04-b9939b0cc6ab"
"npm list --depth 0 --long true","NPM Playbook","NPM Basics","Listing Installed Packages","1:50","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=8&mode=live&start=110.039576&noteid=7ebc983a-8ac8-43b1-9600-cdabd9089a06"
"codereview.stackexchange.com","Learning To Program - Being A Better Programmer","Learning Code","Getting Feedback","0:18","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=iris-classon&name=learning-program-better-programmer-m2-code&clip=9&mode=live&start=18.09666&noteid=c0b531c9-880d-4527-bda8-e30ba26f1c95"
"npm i gulp -g","NPM Playbook","NPM Basics","Installing Global Packages","0:36","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=9&mode=live&start=36.304473&noteid=b1cc4807-7c46-4584-8c77-a4c7003e8782"
"F12 on import ..""rxjs"" it will load other type files..","Getting Started with Reactive Programming Using RxJS","Observers and Observables","Importing Just What We Need","0:50","https://app.pluralsight.com/player?course=reactive-programming-rxjs-getting-started&author=scott-allen&name=reactive-programming-rxjs-getting-started-m1&clip=9&mode=live&start=50.493466&noteid=111ea871-eb7c-4247-b498-c9f2f5dcbba1"
"gist.github.com","Learning To Program - Being A Better Programmer","Learning Code","Getting Feedback","1:23","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=iris-classon&name=learning-program-better-programmer-m2-code&clip=9&mode=live&start=83.695301&noteid=f7cac2d5-858c-46bc-a1fa-2f209b3977a9"
"many of the operators are added as mixins..","Getting Started with Reactive Programming Using RxJS","Observers and Observables","Importing Just What We Need","1:23","https://app.pluralsight.com/player?course=reactive-programming-rxjs-getting-started&author=scott-allen&name=reactive-programming-rxjs-getting-started-m1&clip=9&mode=live&start=83.995176&noteid=cc9c4cec-e24c-46ac-a63b-071da3ce52a7"
"npm uninstall underscore","NPM Playbook","NPM Basics","Removing a Package","0:15","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=10&mode=live&start=15.07132&noteid=74a82b9c-0411-4393-beb0-bc29f008a6f7"
"npm uinstall underscore --save","NPM Playbook","NPM Basics","Removing a Package","0:36","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=10&mode=live&start=36.827341&noteid=ef3f1fc0-16db-4424-b3e1-2342c24b7816"
"cognitive behavioral therapy","Learning To Program - Being A Better Programmer","Learning Code","Responding To Feedback","1:56","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=iris-classon&name=learning-program-better-programmer-m2-code&clip=10&mode=live&start=116.670677&noteid=5dde768f-0de9-4509-9be8-af8837c5f3bc"
"specifiic version you need : major.minor.revision","NPM Playbook","NPM Basics","Installing Specific Versions","0:17","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=11&mode=live&start=17.55407&noteid=a237377f-58c1-4404-80fa-d823c42f3987"
"npm i underscore@1.8.x --> x means latest version of revision","NPM Playbook","NPM Basics","Installing Specific Versions","2:14","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=11&mode=live&start=134.962408&noteid=3cdf9d7d-06b8-4eca-9968-ae2594c93361"
"~ means latest version of minor version       ^ latest versio of the major version","NPM Playbook","NPM Basics","Installing Existing Dependencies","1:45","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=12&mode=live&start=105.140063&noteid=37fcb41a-1349-40c8-977c-c4aa918c858a"
"npm update ,only one by saying npm update underscore","NPM Playbook","NPM Basics","Updating Packages","0:51","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=13&mode=live&start=51.647007&noteid=396bec57-37b5-4cba-ad7e-0d65b308609b"
"npm show underscore versions","NPM Playbook","NPM Basics","Updating Packages","1:46","https://app.pluralsight.com/player?course=npm-playbook&author=joe-eames&name=npm-playbook-m1&clip=13&mode=live&start=106.159154&noteid=33990ada-f161-45dc-aff8-a33ddf6e70f1"
"RXJS specific obervables in application code...","Getting Started with Reactive Programming Using RxJS","Working with Observables","Introduction","0:08","https://app.pluralsight.com/player?course=reactive-programming-rxjs-getting-started&author=scott-allen&name=reactive-programming-rxjs-getting-started-m2&clip=0&mode=live&start=8.361397&noteid=2f087d42-7a96-48b4-b7a2-e01b26a18f40"
"Modern oop","C# Programming Paradigms","Object Oriented Programming with C#","Introduction","0:15","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-oop&clip=0&mode=live&start=15.293463&noteid=02822296-d9ae-4d4b-9a54-99b87646391e"
"gulp is like a task manager or build tool","Building Web Applications with Node.js and Express 4.0","Setting Up Gulp","What Is Gulp?","0:17","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m3&clip=1&mode=live&start=17.498997&noteid=e6ac13fb-c6ec-4034-b843-8382ea6ebe6c"
"#Languages : ES5,ES6,Typescript ,Dart(is not javascript)","Angular 2: First Look","Angular 2 Architecture, What's New, and What's Different","Language Choices","0:23","https://app.pluralsight.com/player?course=angular-2-first-look&author=john-papa&name=angular-2-first-look-m2&clip=1&mode=live&start=23.483283&noteid=3f7e99cf-4d49-481a-be85-3267594b8624"
"gulp is package based","Building Web Applications with Node.js and Express 4.0","Setting Up Gulp","What Is Gulp?","1:04","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m3&clip=1&mode=live&start=64.934107&noteid=9fabfbff-67a9-4cb1-a9e1-b50e704556ca"
"rt.jar is huge and 20years old","Java 9 Modularity: First Look","Creating Modules","The Modular JDK","1:06","https://app.pluralsight.com/player?course=java-9-modularity-first-look&author=sander-mak&name=java-9-modularity-first-look-m2&clip=1&mode=live&start=66.274056&noteid=1d50d767-7e0d-4abd-aa83-7386cf729dae"
"Angular 2 code base is in typescript","Angular 2: First Look","Angular 2 Architecture, What's New, and What's Different","Language Choices","1:09","https://app.pluralsight.com/player?course=angular-2-first-look&author=john-papa&name=angular-2-first-look-m2&clip=1&mode=live&start=69.22433&noteid=3a7ee38c-9cd2-4b83-9611-eef03cc1089d"
"good use of on ..event..","Introduction to Node.js","Events and Streams","Events and the EventEmitter class","1:36","https://app.pluralsight.com/player?course=node-intro&author=paul-ofallon&name=node-intro-m3-streams&clip=1&mode=live&start=96.03003&noteid=019b8215-50d2-4af1-bd3b-9d456e048c30"
"apache is multithreaded , nginix is but single trheaded","Advanced Node.js","Concurrency Model and Event Loop","What Is I/O Anyway","1:57","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m2&clip=1&mode=live&start=117.422421&noteid=83ea0558-34f1-4bf2-a4ce-bb8887e221a1"
"multihtreaded create problem while using shared resources... ","Advanced Node.js","Concurrency Model and Event Loop","What Is I/O Anyway","2:04","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m2&clip=1&mode=live&start=124.895247&noteid=b030c6c3-cd1a-41b2-88a3-217404deefc8"
"loading stock quotes and searching...","C# Programming Paradigms","Object Oriented Programming with C#","Primitive Procedural Preoccupations","2:08","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-oop&clip=1&mode=live&start=128.702069&noteid=2a1f7f0f-f1e3-4e11-a4c1-e0b4feb71896"
"for handling slow io operations node uses an event loop","Advanced Node.js","Concurrency Model and Event Loop","What Is I/O Anyway","2:09","https://app.pluralsight.com/player?course=nodejs-advanced&author=samer-buna&name=nodejs-advanced-m2&clip=1&mode=live&start=129.633972&noteid=756200b0-ed41-44e2-98a3-551e2c86e2e1"
"management likesto measure","Learning To Program - Being A Better Programmer","Learning in the Workplace","Talking to Management","2:17","https://app.pluralsight.com/player?course=learning-program-better-programmer&author=scott-allen&name=learning-program-better-programmer-m3-workplace&clip=1&mode=live&start=137.486494&noteid=ab1bce15-ed69-4714-bc60-ebb31cd1e3f6"
"rt is runtime","Java 9 Modularity: First Look","Creating Modules","The Modular JDK","2:32","https://app.pluralsight.com/player?course=java-9-modularity-first-look&author=sander-mak&name=java-9-modularity-first-look-m2&clip=1&mode=live&start=152.881385&noteid=9205e80d-e0da-41dd-8737-2d19b7ca1117"
"IQuerable vs IEnumberable","Specification Pattern in C#","Implementing the Specification Pattern the Naive Way","How LINQ Works","3:04","https://app.pluralsight.com/player?course=csharp-specification-pattern&author=vladimir-khorikov&name=csharp-specification-pattern-m2&clip=1&mode=live&start=184.74989&noteid=dd31c302-c691-4476-b27d-4006416e994c"
"Iquerable extends Ienumberable .","Specification Pattern in C#","Implementing the Specification Pattern the Naive Way","How LINQ Works","3:04","https://app.pluralsight.com/player?course=csharp-specification-pattern&author=vladimir-khorikov&name=csharp-specification-pattern-m2&clip=1&mode=live&start=184.74989&noteid=560ee1a9-9cc6-41ef-a4e0-5d9f323d6178"
"network layers..","HTTP Fundamentals","HTTP Connections","Whirlwind Networking","4:01","https://app.pluralsight.com/player?course=xhttp-fund&author=scott-allen&name=xhttp-fund-m3-connections&clip=1&mode=live&start=241.292587&noteid=f932da70-76de-4964-96a0-d7446b6408c8"
"Webapi crosscutting issue is CORS --> Cross Origin Resource Sharing..","Web API v2 Security","ASP.NET Web API Security Architecture","The Security Pipeline","5:04","https://app.pluralsight.com/player?course=webapi-v2-security&author=dominick-baier&name=webapi-v2-security-m3-architecture&clip=1&mode=live&start=304.284507&noteid=ea0b95f4-9f8f-4575-a73e-df23742f7a24"
"john papa gulp","Building Web Applications with Node.js and Express 4.0","Setting Up Gulp","Coding Standards with JSHint and JSCS","0:02","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m3&clip=2&mode=live&start=2.085058&noteid=8112237c-6ddc-43f5-b7dd-c60caa6728d1"
"perhaps you are modeling a company... so you wnat to write a employee class","LINQ Fundamentals with C# 6.0","LINQ and C#","The Power of IEnumerable","0:30","https://app.pluralsight.com/player?course=linq-fundamentals-csharp-6&author=scott-allen&name=linq-fundamentals-csharp-6-m2&clip=2&mode=live&start=30.877738&noteid=0417b514-f6a5-4281-b263-38c160989ca4"
"good example..","C# Programming Paradigms","Object Oriented Programming with C#","The Big Encapsulation","1:04","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-oop&clip=2&mode=live&start=64.526724&noteid=bf0b1094-681f-4cee-a48f-92c490909c26"
"jshint for backets and jscs for brackets","Building Web Applications with Node.js and Express 4.0","Setting Up Gulp","Coding Standards with JSHint and JSCS","3:32","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m3&clip=2&mode=live&start=212.338149&noteid=90f53591-9696-47c8-9321-be9fb652a40c"
"good code for xmlhttp request","Getting Started with Reactive Programming Using RxJS","Working with Observables","Sending Requests with XmlHttpRequest","4:37","https://app.pluralsight.com/player?course=reactive-programming-rxjs-getting-started&author=scott-allen&name=reactive-programming-rxjs-getting-started-m2&clip=2&mode=live&start=277.202163&noteid=42db54df-b210-4f25-95ac-4c3a20f8912b"
"var x=3 var z='3' what is x+z","Learning To Program - Part 1: Getting Started","Learning To Program - Variables and Types","Types","6:06","https://app.pluralsight.com/player?course=learning-programming-javascript&author=scott-allen&name=learning-programming-javascript-m3&clip=2&mode=live&start=366.633656&noteid=3a70b4f3-cbeb-4f46-a584-33a4bada0273"
"33","Learning To Program - Part 1: Getting Started","Learning To Program - Variables and Types","Types","6:22","https://app.pluralsight.com/player?course=learning-programming-javascript&author=scott-allen&name=learning-programming-javascript-m3&clip=2&mode=live&start=382.629976&noteid=430fbe1d-c1f4-482f-931d-63026032991d"
"var x=3 var z='3' what is x*z : 9","Learning To Program - Part 1: Getting Started","Learning To Program - Variables and Types","Types","7:29","https://app.pluralsight.com/player?course=learning-programming-javascript&author=scott-allen&name=learning-programming-javascript-m3&clip=2&mode=live&start=449.622641&noteid=97540084-3c60-4b71-8131-cdf4ccae5563"
"3.5+z ?? 3.53","Learning To Program - Part 1: Getting Started","Learning To Program - Variables and Types","Types","8:11","https://app.pluralsight.com/player?course=learning-programming-javascript&author=scott-allen&name=learning-programming-javascript-m3&clip=2&mode=live&start=491.186696&noteid=e749243c-3d60-49e8-a170-a5d68282a9da"
"parseInt('3')","Learning To Program - Part 1: Getting Started","Learning To Program - Variables and Types","Types","8:38","https://app.pluralsight.com/player?course=learning-programming-javascript&author=scott-allen&name=learning-programming-javascript-m3&clip=2&mode=live&start=518.620631&noteid=fd447598-a881-4e5f-b2f1-b82da1dda7cc"
"Many classes 6 classes..","C# Programming Paradigms","Object Oriented Programming with C#","Little Abstractions","0:19","https://app.pluralsight.com/player?course=csharp-fundamentals-2&author=scott-allen&name=csharp-oop&clip=3&mode=live&start=19.637496&noteid=0f2a998a-8885-4bf4-97f7-c1fb0c274953"
"\n#q1 So how do you make a module in Angular 2??\n\n* create a class \n* decorate it with @Module sry.. @NgModule","Angular 2: First Look","Angular 2 Architecture, What's New, and What's Different","Angular Modules","0:54","https://app.pluralsight.com/player?course=angular-2-first-look&author=john-papa&name=angular-2-first-look-m2&clip=3&mode=live&start=54.23051&noteid=41e2c4ba-8efb-4de3-bf4f-bab26ae753a1"
"gulp should be only dev dependencies","Building Web Applications with Node.js and Express 4.0","Setting Up Gulp","JSCS in Gulp","1:25","https://app.pluralsight.com/player?course=nodejs-express-web-applications&author=jonathan-mills&name=nodejs-express-web-applications-m3&clip=3&mode=live&start=85.998064&noteid=e56d9644-dd66-4771-b73a-3598aec0c026"
"low level details the client should not be noing..","Specification Pattern in C#","Implementing the Specification Pattern the Naive Way","Recap: Using Plain C# Expressions","1:34","https://app.pluralsight.com/player?course=csharp-specification-pattern&author=vladimir-khorikov&name=csharp-specification-pattern-m2&clip=3&mode=live&start=94.974332&noteid=eb1ea3c4-7150-4890-804f-bd3fc060359a"
"low level details like combiing expresions and compilig expressio ..should be encapsulated  and abstracted away","Specification Pattern in C#","Implementing the Specification Pattern the Naive Way","Recap: Using Plain C# Expressions","1:34","https://app.pluralsight.com/player?course=csharp-specification-pattern&author=vladimir-khorikov&name=csharp-specification-pattern-m2&clip=3&mode=live&start=94.974332&noteid=b26a6d55-f974-42a3-905f-53a4704cf47b"
